scenario,repeat_seed,model,n_train,n_test,split_stratification_mode,accuracy,precision,recall,f1,roc_auc,pr_auc
scenario4_majority_demo_only,106,SVM (RBF),158,42,target_plus_cohort,0.5,0.45454545454545453,0.5263157894736842,0.4878048780487805,0.5125858123569793,0.4882876895342269
scenario4_majority_demo_only,107,Logistic Regression,158,42,target_plus_cohort,0.5952380952380952,0.5714285714285714,0.2222222222222222,0.32,0.8032407407407407,0.7175146512103034
scenario4_majority_demo_only,107,Random Forest,158,42,target_plus_cohort,0.5714285714285714,0.5,0.5,0.5,0.6388888888888888,0.6352161668781584
scenario4_majority_demo_only,107,Gradient Boosting,158,42,target_plus_cohort,0.6190476190476191,0.55,0.6111111111111112,0.5789473684210527,0.5555555555555555,0.4655956885123552
scenario4_majority_demo_only,107,SVM (RBF),158,42,target_plus_cohort,0.5952380952380952,0.5454545454545454,0.3333333333333333,0.41379310344827586,0.6319444444444444,0.5475948108026407
scenario4_majority_demo_only,108,Logistic Regression,159,41,target_plus_cohort,0.6829268292682927,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.7549019607843137,0.7493182623617407
scenario4_majority_demo_only,108,Random Forest,159,41,target_plus_cohort,0.6341463414634146,0.5625,0.5294117647058824,0.5454545454545454,0.6225490196078431,0.5272654757775865
scenario4_majority_demo_only,108,Gradient Boosting,159,41,target_plus_cohort,0.4878048780487805,0.3888888888888889,0.4117647058823529,0.4,0.48039215686274506,0.4196703623174211
scenario4_majority_demo_only,108,SVM (RBF),159,41,target_plus_cohort,0.6341463414634146,0.5555555555555556,0.5882352941176471,0.5714285714285714,0.6421568627450981,0.6102771352947027
scenario4_majority_demo_only,109,Logistic Regression,161,39,target_plus_cohort,0.6153846153846154,0.6363636363636364,0.3888888888888889,0.4827586206896552,0.7433862433862434,0.7043564460231126
scenario4_majority_demo_only,109,Random Forest,161,39,target_plus_cohort,0.5641025641025641,0.5454545454545454,0.3333333333333333,0.41379310344827586,0.6375661375661376,0.583731511928443
scenario4_majority_demo_only,109,Gradient Boosting,161,39,target_plus_cohort,0.5128205128205128,0.46153846153846156,0.3333333333333333,0.3870967741935484,0.5687830687830688,0.5336599419932754
scenario4_majority_demo_only,109,SVM (RBF),161,39,target_plus_cohort,0.6153846153846154,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.7195767195767195,0.648900379455935
scenario5_h3d_agree_ct_only,100,Logistic Regression,118,32,target_plus_cohort,0.84375,0.9,0.6923076923076923,0.782608695652174,0.874493927125506,0.894818010936432
scenario5_h3d_agree_ct_only,100,Random Forest,118,32,target_plus_cohort,0.78125,0.875,0.5384615384615384,0.6666666666666666,0.8704453441295547,0.8596764346764347
scenario5_h3d_agree_ct_only,100,Gradient Boosting,118,32,target_plus_cohort,0.71875,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.7530364372469636,0.6545958742112588
scenario5_h3d_agree_ct_only,100,SVM (RBF),118,32,target_plus_cohort,0.78125,0.875,0.5384615384615384,0.6666666666666666,0.8218623481781376,0.8184620934620935
scenario5_h3d_agree_ct_only,101,Logistic Regression,119,31,target_plus_cohort,0.7419354838709677,1.0,0.38461538461538464,0.5555555555555556,0.8247863247863247,0.7843727351080292
scenario5_h3d_agree_ct_only,101,Random Forest,119,31,target_plus_cohort,0.8387096774193549,1.0,0.6153846153846154,0.7619047619047619,0.8547008547008548,0.8602112011319172
scenario5_h3d_agree_ct_only,101,Gradient Boosting,119,31,target_plus_cohort,0.7096774193548387,0.7,0.5384615384615384,0.6086956521739131,0.8290598290598291,0.8140005848984175
scenario5_h3d_agree_ct_only,101,SVM (RBF),119,31,target_plus_cohort,0.7096774193548387,1.0,0.3076923076923077,0.47058823529411764,0.8205128205128205,0.777379011399016
scenario5_h3d_agree_ct_only,102,Logistic Regression,122,28,target_plus_cohort,0.6428571428571429,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.7165775401069518,0.6289953711006343
scenario5_h3d_agree_ct_only,102,Random Forest,122,28,target_plus_cohort,0.6428571428571429,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.7005347593582887,0.6521079883308986
